"","V4","total"
"1","#covid19",112230632
"2","#coronavirus",42341708
"3","#covid",13318173
"4","#whatshappeninginmyanmar",2957909
"5","#covid<u+30fc>19",2252353
"6","#lockdown",1929548
"7","#stayhome",1356474
"8","#corona",1234337
"9","#china",1160193
"10","#wuhan",686574
"11","#covidー19",645610
"12","#wearamask",578205
"13","#myanmarneedso2",550607
"14","#july11coup",461257
"15","#modijipostponejeeneet",394921
"16","#swamyjihelpjeeneet",358124
"17","#endsars",349939
"18","#july10coup",349383
"19","#satyagrahagainstexamsincovid",319539
"20","#coronavirusoutbreak",266085
"21","#protestagainstexamsincovid",262955
"22","#july21coup",215977
"23","#indiaunitedtopostponejeeneet",213333
"24","#postponeneetandjee",207212
"25","#trumpknew",198243
"26","#covid2019",196353
"27","#bts",187809
"28","#postponejeeandneet",153978
"29","#trump",146851
"30","#sacwantscoviduncontrollable",146348
"31","#hydroxychloroquine",144827
"32","#india",137381
"33","#preveniresvencer",136661
"34","#epex",134927
"35","#wuhancoronavirus",128167
"36","#speakupforsscrailwaysstudends",125575
"37","#stopprivatisationsavegovtjob",124066
"38","#myanmarcovidsos",122067
"39","#dreadfulcovidamidmilitarycoup",116691
"40","#icrcsavemyanmarprisoners",112406
"41","#july23coup",107811
"42","#vaccine",107762
"43","#activoscontraelvirus",107547
"44","#postponesscchsl",107537
"45","#speakupforstudentsafety",106753
"46","#todoscontraelvirus",106573
"47","#icjbringsactojustice",105036
"48","#july17coup",103884
"49","#sputnikvgarantizavida",102840
"50","#surakshabeforepariksha",102441
"51","#lacovidnoesjuego",102419
"52","#postponejeeneetsept",99232
"53","#trumpvirus",98434
"54","#stayathome",98153
"55","#hopetogaza",96632
"56","#july12coup",96013
"57","#cuidémonosenfamilia",94952
"58","#cancelboardexams2021",94022
"59","#ntapostponejeeneet",93751
"60","#sputnikvcontracovid",93352
"61","#unidosenprevención",92619
"62","#rgpvspreadingcoronavirus",92426
"63","#trumphascovid",91625
"64","#postponechsl2020",90916
"65","#antistudentmodigovt",90243
"66","#ripsubhasrisave30lakh",88194
"67","#cancelboardexams",85771
"68","#togetherathome",85566
"69","#lacovidnoescoba",83771
"70","#prevenireslaclave",82620
"71","#coronaoutbreak",76953
"72","#juntoscontralacovid19",76302
"73","#savejeeneetstudentspm",76121
"74","#neetjee",75354
"75","#july14coup",75254
"76","#postponeexamsorresignmodi",75133
"77","#prevenireselantídoto",74900
"78","#envenezuelanoscuidamos",73334
"79","#blood",73293
"80","#radicalescontralacovid19",73213
"81","#sopcantsavejeeneet",72604
"82","#july16coup",71854
"83","#parentsdemandpostponeneet",71834
"84","#largestvaccinedrive",71659
"85","#modijicancel12thboards",70260
"86","#safehands",69751
"87","#prevenirporlavida",67702
"88","#july18coup",66761
"89","#prevenirsalvavidas",65946
"90","#pawankalyanbirthdaycdp",62844
"91","#bioseguridadporlavida",62493
"92","#july20coup",62250
"93","#cuídatedelacovid19",62145
"94","#daleunparaoalacovid",61731
"95","#luchacontralacovid19",61532
"96","#breaking",61271
"97","#worldhealthday",60653
"98","#pltpinkmonday",60470
"99","#laprevenciónesclave",59646
"100","#modijihelpjeeneet",58748
"101","#evitaelcontagio",58524
"102","#unga",58485
